,SMW,SMFCF,K0,SOPE,KSUB,longitude,latitude
269,0.116494772,0.258691362,0.8275996659999999,100.291392,67.46875462,-90.5,39.0
273,0.175117296,0.321459762,0.291683325,80.662272,54.26371025,-93.5,29.8
276,0.157763862,0.305835436,0.410935527,83.563968,56.21576029,-96.2,42.6
277,0.157763862,0.305835436,0.410935527,83.563968,56.21576029,-95.2,41.3
278,0.157763862,0.305835436,0.410935527,83.563968,56.21576029,-97.0,42.5
280,0.121729757,0.252693627,0.757445032,110.70336,74.47316945,-93.2,31.8
283,0.169330343,0.31002906,0.329865336,89.452704,60.17727360000001,-94.1,43.1
285,0.140169715,0.28602084899999997,0.558646803,90.732864,61.03847215,-96.8,38.3
288,0.157763862,0.305835436,0.410935527,83.563968,56.21576029,-97.8,38.1
290,0.11700112900000001,0.267603219,0.835501437,91.75699200000001,61.72743098,-95.5,40.5
294,0.12054398599999999,0.22981085899999998,0.761390212,134.17296000000002,90.26180945,-122.4,37.8
298,0.168971765,0.30436791399999996,0.32561674,95.853504,64.48326633,-95.9,39.6
300,0.175117296,0.321459762,0.291683325,80.662272,54.26371025,-123.0,44.8
303,0.157763862,0.305835436,0.410935527,83.563968,56.21576029,-117.7,46.4
305,0.169330343,0.31002906,0.329865336,89.452704,60.17727360000001,-88.8,40.9
309,0.169330343,0.31002906,0.329865336,89.452704,60.17727360000001,-93.6,40.4
312,0.07010632,0.153184519,1.8422085819999998,168.225216,113.16969080000001,-113.5,44.5
315,0.096444969,0.203907327,1.1584407840000002,139.46428799999998,93.82143011,-116.0,44.1
318,0.140169715,0.28602084899999997,0.558646803,90.732864,61.03847215,-98.7,37.8
322,0.157938276,0.30971059100000004,0.40930554399999997,79.296768,53.34509847,-111.3,40.9
325,0.156889201,0.283275813,0.419592401,109.16716799999999,73.4397312,-109.5,38.0
328,0.151611952,0.291553094,0.458366812,94.488,63.56465455,-95.5,36.5
330,0.037240447999999995,0.155676761,3.30655751,139.891008,94.10849629,-118.9,44.7
333,0.164290202,0.332944557,0.364822849,57.704736,38.81954967,-93.9,41.3
335,0.134714831,0.287740495,0.6133061870000001,84.588096,56.90471913,-114.2,43.7
339,0.156889201,0.283275813,0.419592401,109.16716799999999,73.4397312,-111.4,39.9
343,0.134714831,0.287740495,0.6133061870000001,84.588096,56.90471913,-117.3,47.5
346,0.169330343,0.31002906,0.329865336,89.452704,60.17727360000001,-90.4,42.7
351,0.096444969,0.203907327,1.1584407840000002,139.46428799999998,93.82143011,-80.6,46.0
353,0.121676384,0.25260146899999997,0.680863792,110.70336,74.47316945,-115.6,33.1
355,0.121676384,0.25260146899999997,0.680863792,110.70336,74.47316945,-109.9,39.9
357,0.121676384,0.25260146899999997,0.680863792,110.70336,74.47316945,-119.1,39.8
361,0.12788919,0.263938845,0.6796082059999999,104.04652800000001,69.99493702,-121.7,39.1
364,0.107955878,0.210224202,0.929583998,143.219424,96.34761251,-119.4,35.8
367,0.139599671,0.273844245,0.554494406,103.534464,69.65045759999998,-99.8,30.3
368,0.14005785199999998,0.282077639,0.560259515,95.000064,63.90913396,-119.1,49.0
370,0.108751813,0.223006691,0.9530988290000001,130.417824,87.73562705,-112.6,37.9
373,0.26686847399999997,0.402211765,0.06157249099999999,65.89775999999999,44.33122036,-118.9,47.2
376,0.127933667,0.264016535,0.6929383000000001,104.04652800000001,69.99493702,-114.4,47.5
379,0.127933667,0.264016535,0.6929383000000001,104.04652800000001,69.99493702,-112.9,48.9
381,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-102.7,42.3
384,0.127933667,0.264016535,0.6929383000000001,104.04652800000001,69.99493702,-112.2,43.2
387,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-104.8,36.1
390,0.139599671,0.273844245,0.554494406,103.534464,69.65045759999998,-98.0,26.3
393,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-120.0,45.5
396,0.139599671,0.273844245,0.554494406,103.534464,69.65045759999998,-97.8,31.7
398,0.108751813,0.223006691,0.9530988290000001,130.417824,87.73562705,-104.9,33.5
400,0.10859258199999999,0.21889033,0.937119413,134.685024,90.60628887,-112.0,41.6
403,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-105.6,49.0
405,0.127933667,0.264016535,0.6929383000000001,104.04652800000001,69.99493702,-100.3,44.0
407,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-102.8,44.3
410,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-100.6,36.1
414,0.145072869,0.27097563199999997,0.505149968,111.812832,75.21954153,-103.5,33.4
416,0.145072869,0.27097563199999997,0.505149968,111.812832,75.21954153,-99.6,28.5
418,0.140169715,0.28602084899999997,0.558646803,90.732864,61.03847215,-99.9,43.0
420,0.139394723,0.269804148,0.568365565,107.80166399999999,72.52111942,-101.1,39.1
422,0.139394723,0.269804148,0.568365565,107.80166399999999,72.52111942,-103.5,41.8
424,0.162971365,0.29397033,0.376982175,102.510336,68.96149876,-105.7,33.5
426,0.163506069,0.308652512,0.37209322100000003,85.441536,57.47885149,-107.8,40.3
428,0.181150206,0.337966053,0.272707574,65.47104,44.04415418,-109.7,34.0
433,0.139394723,0.269804148,0.568365565,107.80166399999999,72.52111942,-107.5,42.6
436,0.127933667,0.264016535,0.6929383000000001,104.04652800000001,69.99493702,-105.0,46.8
438,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-112.2,36.6
440,0.127933667,0.264016535,0.6929383000000001,104.04652800000001,69.99493702,-119.7,47.0
442,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-118.0,43.7
444,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-112.6,35.5
448,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-101.6,36.3
451,0.139599671,0.273844245,0.554494406,103.534464,69.65045759999998,-99.2,32.0
454,0.157938276,0.30971059100000004,0.40930554399999997,79.296768,53.34509847,-109.1,37.8
458,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-120.0,41.4
461,0.139394723,0.269804148,0.568365565,107.80166399999999,72.52111942,-102.4,45.0
464,0.127933667,0.264016535,0.6929383000000001,104.04652800000001,69.99493702,-103.1,46.7
468,0.169330343,0.31002906,0.329865336,89.452704,60.17727360000001,-102.7,49.1
472,0.139394723,0.269804148,0.568365565,107.80166399999999,72.52111942,-104.0,39.8
475,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-118.4,43.0
479,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-110.0,48.6
484,0.121352642,0.24628398,0.7635116209999999,117.10416000000001,78.77916218,-111.2,48.9
489,0.121729757,0.252693627,0.757445032,110.70336,74.47316945,-99.1,36.4
492,0.140169715,0.28602084899999997,0.558646803,90.732864,61.03847215,-98.5,40.0
493,0.139394723,0.269804148,0.568365565,107.80166399999999,72.52111942,-117.0,43.2
495,0.145072869,0.27097563199999997,0.505149968,111.812832,75.21954153,-101.7,34.5
497,0.092456691,0.22824865800000002,1.285298618,111.98352,75.33436800000001,-79.0,44.3
498,0.092456691,0.22824865800000002,1.285298618,111.98352,75.33436800000001,-80.3,44.1
499,0.092456691,0.22824865800000002,1.285298618,111.98352,75.33436800000001,-78.2,44.1
500,0.092456691,0.22824865800000002,1.285298618,111.98352,75.33436800000001,-81.0,43.9
501,0.092456691,0.22824865800000002,1.285298618,111.98352,75.33436800000001,-80.9,43.6
